iter	Passed	Remaining
0	59	59136
1	59	29708
2	59	19882
3	60	14972
4	60	12019
5	60	10058
6	61	8666
7	61	7613
8	61	6795
9	61	6136
10	62	5599
11	62	5155
12	62	4775
13	63	4451
14	63	4170
15	63	3935
16	64	3716
17	64	3522
18	64	3349
19	65	3196
20	65	3055
21	65	2930
22	66	2811
23	66	2703
24	66	2607
25	67	2514
26	67	2429
27	67	2348
28	67	2274
29	68	2207
30	68	2142
31	68	2083
32	69	2046
33	70	1993
34	70	1945
35	70	1897
36	71	1852
37	71	1809
38	71	1770
39	72	1732
40	72	1697
41	72	1662
42	73	1630
43	73	1599
44	73	1568
45	74	1539
46	74	1512
47	74	1485
48	75	1460
49	75	1434
50	75	1410
51	76	1390
52	76	1368
53	76	1346
54	77	1328
55	77	1308
56	77	1289
57	78	1270
58	78	1253
59	78	1236
60	79	1219
61	79	1204
62	79	1188
63	80	1173
64	80	1158
65	80	1144
66	81	1130
67	81	1116
68	81	1102
69	81	1088
70	82	1076
71	82	1063
72	82	1051
73	83	1039
74	83	1028
75	83	1016
76	84	1006
77	84	997
78	84	987
79	84	976
80	85	966
81	85	956
82	85	945
83	85	936
84	86	927
85	86	919
86	86	910
87	87	901
88	87	893
89	87	885
90	87	877
91	88	869
92	88	862
93	88	854
94	89	848
95	89	841
96	89	834
97	89	828
98	90	821
99	90	815
100	90	809
101	91	802
102	91	797
103	91	791
104	92	785
105	92	779
106	92	774
107	93	768
108	93	762
109	93	757
110	93	751
111	94	746
112	94	740
113	94	735
114	95	731
115	95	726
116	95	721
117	95	716
118	96	711
119	96	707
120	96	703
121	97	698
122	97	694
123	97	690
124	98	686
125	98	681
126	98	677
127	98	673
128	99	669
129	99	665
130	99	661
131	100	658
132	100	654
133	100	650
134	100	646
135	101	643
136	101	639
137	101	636
138	102	633
139	102	629
140	102	626
141	102	621
142	103	618
143	103	614
144	103	611
145	104	609
146	104	606
147	104	603
148	105	600
149	105	596
150	105	594
151	106	591
152	106	588
153	106	585
154	106	582
155	107	580
156	107	577
157	107	574
158	108	571
159	108	568
160	108	565
161	108	562
162	109	559
163	109	557
164	109	554
165	109	552
166	110	549
167	110	547
168	110	545
169	111	542
170	111	539
171	111	537
172	111	535
173	112	532
174	112	530
175	112	528
176	113	526
177	113	524
178	113	521
179	114	519
180	114	517
181	114	515
182	115	513
183	115	512
184	115	509
185	115	507
186	116	505
187	116	503
188	116	502
189	117	499
190	117	498
191	117	496
192	118	494
193	118	492
194	118	490
195	119	488
196	119	486
197	119	484
198	119	482
199	120	481
200	120	479
201	120	477
202	121	475
203	121	473
204	121	471
205	122	470
206	122	468
207	122	467
208	122	465
209	123	463
210	123	461
211	123	460
212	124	458
213	124	457
214	124	455
215	124	453
216	125	451
217	125	450
218	125	448
219	126	447
220	126	445
221	126	443
222	126	442
223	127	440
224	127	439
225	127	437
226	128	435
227	128	434
228	128	432
229	128	431
230	129	429
231	129	428
232	129	426
233	129	425
234	130	423
235	130	422
236	130	421
237	131	419
238	131	418
239	131	417
240	131	415
241	132	414
242	132	412
243	132	411
244	133	409
245	133	408
246	133	407
247	133	406
248	134	404
249	134	403
250	134	402
251	135	401
252	135	400
253	135	398
254	136	397
255	136	396
256	136	395
257	137	394
258	137	392
259	137	391
260	137	390
261	138	389
262	138	388
263	138	386
264	139	385
265	139	384
266	140	385
267	140	384
268	141	383
269	141	381
270	141	381
271	141	379
272	142	378
273	142	377
274	142	376
275	143	375
276	143	374
277	143	373
278	144	372
279	144	371
280	144	369
281	144	368
282	145	367
283	145	366
284	145	365
285	146	364
286	146	363
287	146	362
288	146	361
289	147	360
290	147	358
291	147	357
292	147	356
293	148	355
294	149	356
295	149	355
296	149	354
297	150	353
298	150	352
299	150	351
300	150	350
301	151	349
302	151	348
303	151	347
304	152	346
305	152	345
306	152	344
307	153	344
308	153	343
309	153	342
310	153	341
311	154	340
312	154	339
313	154	338
314	155	337
315	155	336
316	155	335
317	156	334
318	156	333
319	156	332
320	156	332
321	157	331
322	157	330
323	158	329
324	158	328
325	158	327
326	158	327
327	159	326
328	159	325
329	159	324
330	160	323
331	160	322
332	160	321
333	160	320
334	161	319
335	161	319
336	161	318
337	162	317
338	162	316
339	162	316
340	163	315
341	163	315
342	164	314
343	164	313
344	164	312
345	165	311
346	165	311
347	165	310
348	165	309
349	166	308
350	166	307
351	166	306
352	167	306
353	167	305
354	167	304
355	167	303
356	168	302
357	168	301
358	168	301
359	168	300
360	169	299
361	169	298
362	169	297
363	169	297
364	170	296
365	170	295
366	170	294
367	171	293
368	171	293
369	171	292
370	172	291
371	172	291
372	172	290
373	173	289
374	173	289
375	173	288
376	174	287
377	174	286
378	174	285
379	174	285
380	175	284
381	175	283
382	175	282
383	175	282
384	176	281
385	176	280
386	176	279
387	177	279
388	177	278
389	177	277
390	177	277
391	178	276
392	178	275
393	178	275
394	179	274
395	179	273
396	179	273
397	180	272
398	180	271
399	180	270
400	180	270
401	181	269
402	181	268
403	181	268
404	182	267
405	182	266
406	182	266
407	182	265
408	183	264
409	183	264
410	184	263
411	184	263
412	184	262
413	184	261
414	185	261
415	185	260
416	185	259
417	186	259
418	186	258
419	186	257
420	187	257
421	187	256
422	187	255
423	187	255
424	188	254
425	188	254
426	188	253
427	189	252
428	189	252
429	189	251
430	189	250
431	190	250
432	190	249
433	190	248
434	191	248
435	191	247
436	191	246
437	191	246
438	192	245
439	192	245
440	192	244
441	193	243
442	193	243
443	193	242
444	193	241
445	194	241
446	194	240
447	194	239
448	195	239
449	195	238
450	195	238
451	196	237
452	196	237
453	196	236
454	197	236
455	197	235
456	197	235
457	198	234
458	198	233
459	198	233
460	198	232
461	199	232
462	199	231
463	199	230
464	200	230
465	200	229
466	200	229
467	201	228
468	201	227
469	201	227
470	201	226
471	202	226
472	202	225
473	202	225
474	203	224
475	203	223
476	203	223
477	203	222
478	204	222
479	204	221
480	204	221
481	205	220
482	205	220
483	205	219
484	206	218
485	206	218
486	206	217
487	207	217
488	207	216
489	207	216
490	208	215
491	208	215
492	208	214
493	209	214
494	209	213
495	209	212
496	209	212
497	210	211
498	210	211
499	210	210
500	211	210
501	211	209
502	211	209
503	211	208
504	212	208
505	212	207
506	212	206
507	213	206
508	213	205
509	213	205
510	213	204
511	214	204
512	214	203
513	214	203
514	215	202
515	215	202
516	215	201
517	215	200
518	216	200
519	216	199
520	216	199
521	217	198
522	217	198
523	217	197
524	218	197
525	218	196
526	218	196
527	218	195
528	219	195
529	219	194
530	219	194
531	219	193
532	220	192
533	220	192
534	220	192
535	221	191
536	221	191
537	221	190
538	222	189
539	222	189
540	222	188
541	222	188
542	223	187
543	223	187
544	223	186
545	224	186
546	224	185
547	224	185
548	225	184
549	225	184
550	225	183
551	226	183
552	226	182
553	226	182
554	226	181
555	227	181
556	227	180
557	227	180
558	227	179
559	228	179
560	228	178
561	228	178
562	229	177
563	229	177
564	229	176
565	229	176
566	230	175
567	230	175
568	230	174
569	231	174
570	231	174
571	231	173
572	232	173
573	232	172
574	232	172
575	233	171
576	233	171
577	233	170
578	233	170
579	234	169
580	234	169
581	234	168
582	235	168
583	235	167
584	235	167
585	235	166
586	236	166
587	236	165
588	236	165
589	237	164
590	237	164
591	237	163
592	237	163
593	238	162
594	238	162
595	238	161
596	239	161
597	239	160
598	239	160
599	240	160
600	240	159
601	240	159
602	241	158
603	241	158
604	241	157
605	241	157
606	242	156
607	242	156
608	242	155
609	242	155
610	243	154
611	243	154
612	243	153
613	244	153
614	244	153
615	244	152
616	245	152
617	245	151
618	245	151
619	245	150
620	246	150
621	246	149
622	246	149
623	247	148
624	247	148
625	247	147
626	247	147
627	248	147
628	248	146
629	248	146
630	249	145
631	249	145
632	249	144
633	249	144
634	250	143
635	250	143
636	250	142
637	251	142
638	251	142
639	251	141
